gene_id	fh1	fh2	hf3	ref1	ref2	ref3
"CE209023_912"	2	2	0	3	1	1
"CE209136_52"	0	0	0	0	0	0
"CE209382_810"	1	0	0	2	1	0
"CE209408_666"	3	0	1	4	0	1
"CE209431_230"	1	0	0	3	0	0
"CE209471_739"	3	2	1	4	0	2
"CE209655_12606"	44	11	13	33	18	6
"CE209880_21974"	80	24	32	92	20	21
"CE210060_165"	0	0	0	0	0	1
"CE210087_118"	27	6	5	1	0	2
"CE210092_63"	10	2	4	1	0	0
"CE210128_22675"	96	43	24	164	69	43
"CE210326_342"	2	1	1	2	0	0
"CE210347_2937"	12	4	5	19	4	9
"CE210396_423"	2	0	0	0	0	0
"CE210736_772"	1	0	2	4	2	1
"CE211100_212"	0	0	0	1	0	0
"CE211342_160"	1	0	0	1	0	0
"CE211462_638"	0	0	0	2	1	1
"CE211566_289"	0	0	0	2	0	0
